Title,Authors,Paper_URL
Curiosity-Driven LLM-as-a-judge for Personalized Creative Judgment,"Vanya Bannihatti Kumar, Divyanshu Goyal, Akhil Eppa, Neel Bhandari",https://openreview.net/forum?id=hHA8NWDLsj
Inverse Language Modeling towards Robust and Grounded LLMs,"Davide Gabrielli, Simone Sestito, Iacopo Masi",https://openreview.net/forum?id=wCu3W6YVNV
Advancing NLP Equity: A Secondary Benchmark Evaluation of Multilingual Language Models for Underrepresented Languages,"Md Muntaqim Meherab, SALMAN, Md. Maruf Billah, Kazi Shakkhar Rahman, Liza Sharmin, Tanvirul Islam, Z N M Zarif Mahmud, Nuruzzaman Faruqui, Sheak Rashed Haider Noori, Touhid Bhuiyan",https://openreview.net/forum?id=YlTVWukmJe
CultureManip: A Novel Benchmark for Mental Manipulation Detection Across Multilingual Settings,"JingFeng Liang, Joshua Casuga, Austin Chen, Lang Xiong, Kevin Zhu",https://openreview.net/forum?id=kPZ42JJTZP
"Beyond Static Leaderboards: A Roadmap to Naturalistic, Functional Evaluation of LLMs","Victor Ojewale, Suresh Venkatasubramanian",https://openreview.net/forum?id=m2lfm9uTai
Why It Failed: A Benchmark to Evaluate Interpretability,"Joel Mathew, Aditya Lagu, Anthony Tang, Prudhviraj Naidu",https://openreview.net/forum?id=dP85YNJvWG
Not Funny Anymore: LLM Judges Confuse Literal Similarity for Humor in Translated Jokes,"Fabricio Rivera, Rohit Pochugari, Tessa Chan, Devansh Katakwar, Kevin Zhu, Michael Saxon",https://openreview.net/forum?id=fdrM652upk
MULTILINGUAL EVALUATION OF HUMAN VS. AI TEXT CLASSIFICATION WITH ZERO-SHOT ANALYSIS OF CONTEMPORARY LLM ARCHITECTURES.,"Pranamya Nilesh Deshpande, Raj Dandekar, Rajat Dandekar, Sreedath Panat",https://openreview.net/forum?id=vNYWqWT0E0
OCER and OCWER: Integrating Visual Similarity and Segmentation in OCR Evaluation,Samy Ouzerrout,https://openreview.net/forum?id=4uTtdp90V6
CivicShield: A Stress-Test Benchmark for Hallucination and Risk Measurement in Public Service LLMs,Ke Zhu,https://openreview.net/forum?id=SywwZu4bLq
